filename,nodes,edges,avg.deg,avg.cc,avg.com_size,min.com_size,max.com_size,mod,com_count
rt_gop,4687,5529,2.3592916577768297,0.004571522724336384,99.723404255319153,9,311,0.836531567174327,47
ca-Erdos992,4991,7428,2.9765578040472853,0.08352464845392667,146.79411764705881,18,420,0.776637636586767,34
rt_occupywallstnyc,3609,3833,2.1241341091715156,0.028309686844916672,26.932835820895523,2,2786,0.3140627117452353,134
rt_justinbieber,9405,9584,2.0380648591174908,0.0010580499682073653,123.75,2,3691,0.6726691434196798,76
web-webbase-2001,16062,25594,3.1869007595567176,0.22431564262127177,232.78260869565219,13,1810,0.9349065393558574,69
socfb-Columbia2,11706,444296,75.90910644114129,0.2310691632632802,585.29999999999995,3,2029,0.4639225876052658,20
bio-dmela,7393,25570,6.9173542540240769,0.01185017524193749,284.34615384615387,4,933,0.4540761892060091,26
socfb-Berkeley13,22900,852420,74.447161572052408,0.20707080336221817,1908.3333333333333,4,6086,0.4189999321170491,12
rt_barackobama,9631,9775,2.0299034368186066,0.002866046803681394,68.792857142857144,2,7414,0.3735232082469365,140
tech-as-caida2007,26475,53382,4.0326345609065157,0.2082328701685316,630.35714285714289,4,5360,0.6684576991192516,42
tech-WHOIS,7476,56944,15.233814874264313,0.4889232938661362,276.88888888888891,2,1550,0.5608967805709019,27
web-EPA,4253,8897,4.1838702092640485,0.07137566771329212,151.89285714285714,18,344,0.6523286514206287,28
soc-BlogCatalog,88784,2093196,47.152550009010632,0.35333474529730236,1455.4754098360656,2,30812,0.31885107952353975,61
eco-foodweb-baydry,128,2106,32.90625,0.33464188601202055,25.600000000000001,12,38,0.17135040841118715,5
eco-florida,128,2075,32.421875,0.33462218114952597,32.0,29,36,0.1660684569603716,4
socfb-Duke14,9885,506438,102.46595852301466,0.24554198160506296,760.38461538461536,3,3445,0.463611141619906,13
eco-foodweb-baywet,128,2075,32.421875,0.33462218114952585,32.0,25,44,0.1718954855566846,4
web-indochina-2004,11358,47607,8.3829899630216591,0.7099149052872802,153.48648648648648,6,1233,0.9414809178746923,74
web-edu,3031,6475,4.2725173210161662,0.5641840121187517,53.175438596491226,10,296,0.951378530433357,57
tech-internet-as,40164,85124,4.2388208345782292,0.20546749813939,854.55319148936167,3,7131,0.6824233500815018,47
soc-catster,148826,5448486,73.219544971980696,0.3877026241330243,1294.1391304347826,2,57784,0.3837757047277906,115
soc-advogato,5054,41941,16.597150771666008,0.2525754349958972,202.16,2,1249,0.4416302674549579,25
bio-yeast-protein-inter,1458,1993,2.7338820301783264,0.07083049680177284,44.18181818181818,9,79,0.8228371553321725,33
soc-anybeat,21250,66892,6.2957176470588232,0.0,259.14634146341461,2,3686,0.4774146301991523,82
soc-hamsterster,2000,16097,16.097000000000001,0.5399779368195866,66.666666666666671,3,396,0.5420388626047523,30
socfb-FSU53,27731,1034800,74.631279073960556,0.2171380687625468,1980.7857142857142,326,6583,0.4657308840979077,14
rt_onedirection,7987,8103,2.0290472017027672,0.00143779921316896,91.804597701149419,1,5797,0.4355195523560372,87
tech-pgp,10680,24316,4.5535580524344565,0.26594522430104467,106.8,6,693,0.8834797565927548,100
bio-yeast,1458,1949,2.673525377229081,0.07083049680177284,45.5625,13,128,0.8183063975395153,32
socfb-Bingham82,10001,362893,72.571342865713433,0.22295633324049838,1250.125,694,2012,0.4483086815777325,8
socfb-Harvard1,15086,824596,109.31936895134562,0.21269802457766243,942.875,3,4782,0.4437053021753911,16
socfb-Syracuse56,13640,543976,79.761876832844578,0.23593526242646237,1049.2307692307693,214,3087,0.47694493311348807,13
